entry_time,exit_time,direction,setup_type,entry_price,exit_price,pnl,exit_reason,risk_distance,planned_sl,planned_tp,R,signal_bar_time,range_high,range_low,sweep_bar_idx,compression_atr,partial_tp_hit,partial_exit_time,partial_exit_price,best_price,entry_type
2023-02-13 01:10:00+00:00,2023-02-13 08:40:00+00:00,SHORT,VCLSMB,12243.717,12301.760206902587,-1.0,SL,58.04320690258646,12301.760206902587,12127.630586194828,-1.0,2023-02-13 01:05:00+00:00,12299.259,12299.259,222036,8.337356341954182,False,,,12243.717,first
2023-02-20 23:10:00+00:00,2023-02-21 00:05:00+00:00,LONG,VCLSMB,12341.227,12331.53364805981,-1.0,SL,9.693351940190041,12331.53364805981,12360.61370388038,-1.0,2023-02-20 23:05:00+00:00,12331.857,12331.857,224340,1.0778398006283374,False,,,12341.227,first
2023-02-28 23:20:00+00:00,2023-03-01 00:05:00+00:00,SHORT,VCLSMB,12003.097,11986.633447130856,2.0,TP,8.231776434571657,12011.328776434571,11986.633447130856,2.0,2023-02-28 23:15:00+00:00,12010.059,12010.059,226644,4.232588115241054,False,,,12003.097,first
2023-04-19 22:25:00+00:00,2023-04-19 23:30:00+00:00,SHORT,VCLSMB,13054.509,13031.306449001468,2.0,TP,11.601275499266194,13066.110275499266,13031.306449001468,2.0,2023-04-19 22:20:00+00:00,13065.069,13065.069,241032,3.4709183308903917,False,,,13054.509,first
2023-05-16 22:25:00+00:00,2023-05-16 22:35:00+00:00,SHORT,VCLSMB,13437.389,13427.855678023781,2.0,TP,4.766660988108924,13442.155660988108,13427.855678023781,2.0,2023-05-16 22:20:00+00:00,13441.119,13441.119,248808,3.4555366270273447,False,,,13437.389,first
2023-05-17 00:05:00+00:00,2023-05-17 00:05:00+00:00,SHORT,VCLSMB,13438.999,13442.226054020137,-1.0,SL,3.227054020137075,13442.226054020137,13432.544891959726,-1.0,2023-05-17 00:00:00+00:00,13441.119,13441.119,248808,3.6901800671186904,False,,,13438.999,pullback
2023-05-31 22:10:00+00:00,2023-05-31 22:20:00+00:00,SHORT,VCLSMB,14244.079,14256.08393504111,-1.0,SL,12.004935041110002,14256.08393504111,14220.06912991778,-1.0,2023-05-31 22:05:00+00:00,14254.759,14254.759,253128,4.416450137031487,False,,,14244.079,first
2023-06-06 22:20:00+00:00,2023-06-06 23:30:00+00:00,SHORT,VCLSMB,14554.779,14563.531981280628,-1.0,SL,8.752981280627864,14563.531981280628,14537.273037438745,-1.0,2023-06-06 22:15:00+00:00,14562.629,14562.629,254856,3.009937602091651,False,,,14554.779,first
2023-06-08 00:05:00+00:00,2023-06-08 01:40:00+00:00,LONG,VCLSMB,14311.297,14293.516389767932,-1.0,SL,17.780610232068284,14293.516389767932,14346.858220464137,-1.0,2023-06-08 00:00:00+00:00,14307.229,14294.999,255151,4.942034106891544,False,,,14311.297,first
2023-06-08 01:50:00+00:00,2023-06-08 01:50:00+00:00,LONG,VCLSMB,14294.379,14293.429650906892,-1.0,SL,0.9493490931090491,14293.429650906892,14296.277698186219,-1.0,2023-06-08 01:45:00+00:00,14307.229,14294.999,255151,5.231163643695585,False,,,14294.379,pullback
2023-06-16 00:10:00+00:00,2023-06-16 06:15:00+00:00,SHORT,VCLSMB,15156.379,15179.668016385936,-1.0,SL,23.28901638593561,15179.668016385936,15109.80096722813,-1.0,2023-06-16 00:05:00+00:00,15178.119,15166.529,257450,5.16338795312211,False,,,15156.379,first
2023-07-05 23:30:00+00:00,2023-07-05 23:55:00+00:00,LONG,VCLSMB,15209.509,15199.612817890766,-1.0,SL,9.89618210923436,15199.612817890766,15229.301364218469,-1.0,2023-07-05 23:25:00+00:00,15200.509,15200.509,263208,2.9872736974491136,False,,,15209.509,first
2023-07-13 00:30:00+00:00,2023-07-13 08:20:00+00:00,LONG,VCLSMB,15344.909,15400.142883855766,2.0,TP,27.61694192788309,15317.292058072117,15400.142883855766,2.0,2023-07-13 00:25:00+00:00,15318.729,15318.729,265224,4.789806426274038,False,,,15344.909,first
2023-07-18 23:05:00+00:00,2023-07-19 09:35:00+00:00,LONG,VCLSMB,15833.739,15865.045077711015,2.0,TP,15.653038855507475,15818.085961144492,15865.045077711015,2.0,2023-07-18 23:00:00+00:00,15819.229,15819.229,266952,3.8101295183577246,False,,,15833.739,first
2023-07-25 22:10:00+00:00,2023-07-26 14:55:00+00:00,SHORT,VCLSMB,15551.059,15437.072530771375,2.0,TP,56.993234614312314,15608.052234614312,15437.072530771375,2.0,2023-07-25 22:05:00+00:00,15605.069,15605.069,268968,9.944115381039506,False,,,15551.059,first
2023-07-28 00:10:00+00:00,2023-07-28 03:35:00+00:00,LONG,VCLSMB,15501.899,15565.924292949569,2.0,TP,32.01264647478456,15469.886353525215,15565.924292949569,2.0,2023-07-28 00:05:00+00:00,15484.739,15471.889,269545,6.67548824927838,False,,,15501.899,first
2023-07-28 03:50:00+00:00,2023-07-28 04:05:00+00:00,LONG,VCLSMB,15504.709,15467.270172968609,-1.0,SL,37.438827031392066,15467.270172968609,15579.586654062785,-1.0,2023-07-28 03:45:00+00:00,15484.739,15471.889,269545,15.396090104636324,False,,,15504.709,pullback
2023-08-13 22:15:00+00:00,2023-08-14 00:55:00+00:00,LONG,VCLSMB,15067.459,15045.217493440234,-1.0,SL,22.241506559767004,15045.217493440234,15111.942013119535,-1.0,2023-08-13 22:10:00+00:00,15046.269,15046.269,274440,3.5050218658892334,False,,,15067.459,first
2023-08-14 22:25:00+00:00,2023-08-15 01:25:00+00:00,LONG,VCLSMB,15221.829,15252.55051420208,2.0,TP,15.36075710103978,15206.46824289896,15252.55051420208,2.0,2023-08-14 22:20:00+00:00,15214.019,15207.779,274729,4.3691903367994085,False,,,15221.829,first
2023-08-30 00:25:00+00:00,2023-08-30 05:30:00+00:00,LONG,VCLSMB,15406.699,15385.743157657982,-1.0,SL,20.955842342018514,15385.743157657982,15448.610684684038,-1.0,2023-08-30 00:20:00+00:00,15387.149,15387.149,279048,4.686141140057384,False,,,15406.699,first
2023-08-30 05:40:00+00:00,2023-08-30 05:45:00+00:00,LONG,VCLSMB,15388.709,15385.608691175657,-1.0,SL,3.1003088243433012,15385.608691175657,15394.909617648687,-1.0,2023-08-30 05:35:00+00:00,15387.149,15387.149,279048,5.134362747804743,False,,,15388.709,pullback
