timestamp,open,high,low,close
1772878320000,24628.888,24628.888,24628.888,24628.888
1772878380000,24628.888,24628.888,24628.888,24628.888
1772878440000,24628.888,24628.888,24628.888,24628.888
1772878500000,24628.888,24628.888,24628.888,24628.888
1772878560000,24628.888,24628.888,24628.888,24628.888
1772878620000,24628.888,24628.888,24628.888,24628.888
1772878680000,24628.888,24628.888,24628.888,24628.888
1772878740000,24628.888,24628.888,24628.888,24628.888
1772878800000,24628.888,24628.888,24628.888,24628.888
1772878860000,24628.888,24628.888,24628.888,24628.888
1772878920000,24628.888,24628.888,24628.888,24628.888
1772878980000,24628.888,24628.888,24628.888,24628.888
1772879040000,24628.888,24628.888,24628.888,24628.888
1772879100000,24628.888,24628.888,24628.888,24628.888
1772879160000,24628.888,24628.888,24628.888,24628.888
1772879220000,24628.888,24628.888,24628.888,24628.888
1772879280000,24628.888,24628.888,24628.888,24628.888
1772879340000,24628.888,24628.888,24628.888,24628.888
1772879400000,24628.888,24628.888,24628.888,24628.888
1772879460000,24628.888,24628.888,24628.888,24628.888
1772879520000,24628.888,24628.888,24628.888,24628.888
1772879580000,24628.888,24628.888,24628.888,24628.888
1772879640000,24628.888,24628.888,24628.888,24628.888
1772879700000,24628.888,24628.888,24628.888,24628.888
1772879760000,24628.888,24628.888,24628.888,24628.888
1772879820000,24628.888,24628.888,24628.888,24628.888
1772879880000,24628.888,24628.888,24628.888,24628.888
1772879940000,24628.888,24628.888,24628.888,24628.888
1772880000000,24628.888,24628.888,24628.888,24628.888
1772880060000,24628.888,24628.888,24628.888,24628.888
1772880120000,24628.888,24628.888,24628.888,24628.888
1772880180000,24628.888,24628.888,24628.888,24628.888
1772880240000,24628.888,24628.888,24628.888,24628.888
1772880300000,24628.888,24628.888,24628.888,24628.888
1772880360000,24628.888,24628.888,24628.888,24628.888
1772880420000,24628.888,24628.888,24628.888,24628.888
1772880480000,24628.888,24628.888,24628.888,24628.888
1772880540000,24628.888,24628.888,24628.888,24628.888
1772880600000,24628.888,24628.888,24628.888,24628.888
