sweep_atr_mult,momentum_atr_mult,momentum_body_ratio,compression_lookback,liquidity_level_atr_mult,enable_trend_filter,trend_ema_period,is_trades,is_win_rate,is_expectancy_R,is_profit_factor,is_max_dd_R,oos_trades,oos_win_rate,oos_expectancy_R,oos_profit_factor,oos_max_dd_R,is_score,is_viable,oos_score,oos_viable
0.5,1.3,0.65,30,10.0,False,50,36,22.22,-0.3333,0.5714,13.0,64,28.12,-0.1562,0.7826,16.0,,False,,False
0.5,1.3,0.75,12,2.0,False,50,6,33.33,0.0,1.0,2.0,9,44.44,0.3333,1.6,3.0,,False,,False
0.5,1.3,0.75,12,4.0,False,50,9,33.33,0.0,1.0,3.0,14,35.71,0.0714,1.1111,5.0,,False,,False
0.5,1.3,0.75,12,6.0,False,50,11,36.36,0.0909,1.1429,3.0,18,33.33,0.0,1.0,8.0,,False,,False
0.5,1.3,0.75,12,10.0,False,50,16,37.5,0.125,1.2,4.0,22,36.36,0.0909,1.1429,8.0,,False,1.1762153376207543,True
0.5,1.3,0.75,20,2.0,False,50,7,28.57,-0.1429,0.8,2.0,14,42.86,0.2857,1.5,4.0,,False,,False
0.5,1.3,0.75,20,4.0,False,50,11,27.27,-0.1818,0.75,3.0,21,33.33,0.0,1.0,8.0,,False,,False
0.5,1.3,0.75,20,6.0,False,50,13,30.77,-0.0769,0.8889,4.0,28,35.71,0.0714,1.1111,7.0,,False,1.167759134246479,True
0.5,1.3,0.75,20,10.0,False,50,19,31.58,-0.0526,0.9231,7.0,35,37.14,0.1143,1.1818,7.0,,False,1.4022207641120292,True
0.5,1.3,0.75,30,2.0,False,50,9,22.22,-0.3333,0.5714,4.0,15,40.0,0.2,1.3333,5.0,,False,,False
0.5,1.3,0.75,30,4.0,False,50,14,21.43,-0.3571,0.5455,6.0,27,29.63,-0.1111,0.8421,9.0,,False,,False
0.5,1.3,0.75,30,6.0,False,50,18,22.22,-0.3333,0.5714,8.0,40,30.0,-0.1,0.8571,9.0,,False,,False
0.5,1.3,0.75,30,10.0,False,50,28,25.0,-0.25,0.6667,9.0,54,29.63,-0.1111,0.8421,12.0,,False,,False
0.5,1.6,0.55,12,2.0,False,50,11,45.45,0.3636,1.6667,3.0,14,35.71,0.0714,1.1111,3.0,,False,,False
0.5,1.6,0.55,12,4.0,False,50,15,33.33,0.0,1.0,6.0,17,35.29,0.0588,1.0909,4.0,,False,,False
0.5,1.6,0.55,12,6.0,False,50,16,37.5,0.125,1.2,6.0,21,38.1,0.1429,1.2308,4.0,,False,1.6146080990745428,True
0.5,1.6,0.55,12,10.0,False,50,19,36.84,0.1053,1.1667,5.0,23,34.78,0.0435,1.0667,4.0,,False,1.1632603241567598,True
0.5,1.6,0.55,20,2.0,False,50,12,41.67,0.25,1.4286,4.0,18,33.33,0.0,1.0,4.0,,False,,False
0.5,1.6,0.55,20,4.0,False,50,17,29.41,-0.1176,0.8333,8.0,23,30.43,-0.087,0.875,5.0,,False,,False
0.5,1.6,0.55,20,6.0,False,50,18,33.33,0.0,1.0,8.0,29,31.03,-0.069,0.9,8.0,,False,,False
0.5,1.6,0.55,20,10.0,False,50,22,31.82,-0.0455,0.9333,7.0,33,27.27,-0.1818,0.75,10.0,,False,,False
0.5,1.6,0.55,30,2.0,False,50,14,35.71,0.0714,1.1111,5.0,18,33.33,0.0,1.0,4.0,,False,,False
0.5,1.6,0.55,30,4.0,False,50,20,25.0,-0.25,0.6667,10.0,27,29.63,-0.1111,0.8421,5.0,,False,,False
