entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason,risk_distance,realized_distance,planned_sl,planned_tp,R,partial_tp_hit,partial_exit_time,partial_exit_price,entry_bar_time,exit_bar_time,entry_bar_low,entry_bar_high,exit_bar_low,exit_bar_high,entry_feasible,exit_feasible,violated_side
2024-04-30T14:00:00+00:00,2024-04-30T15:00:00+00:00,SHORT,17763.857885714286,17667.118514285714,9673937.142857175,TP,48.36968571428588,96.73937142857176,17812.22757142857,17667.118514285714,2.0,False,,,2024-04-30T14:00:00+00:00,2024-04-30T15:00:00+00:00,17695.864,17772.52,17611.02,17718.665,True,True,none
2024-05-02T14:00:00+00:00,2024-05-02T18:00:00+00:00,SHORT,17395.931414285715,17529.658821428573,-13372740.714285828,SL,133.72740714285828,-133.72740714285828,17529.658821428573,17128.476599999998,-1.0,False,,,2024-05-02T14:00:00+00:00,2024-05-02T18:00:00+00:00,17283.131,17433.608,17483.086,17565.764,True,True,none
2024-05-07T17:00:00+00:00,2024-05-08T12:00:00+00:00,LONG,18100.079850000002,18027.39717857143,-7268267.142857076,SL,72.68267142857076,-72.68267142857076,18027.39717857143,18245.445192857143,-1.0,False,,,2024-05-07T17:00:00+00:00,2024-05-08T12:00:00+00:00,18076.665,18157.821,17965.743,18044.899,True,True,none
2024-05-13T17:00:00+00:00,2024-05-13T18:00:00+00:00,LONG,18158.422292857143,18191.61316428571,3319087.1428567334,TP,16.595435714283667,33.190871428567334,18141.82685714286,18191.61316428571,2.0,False,,,2024-05-13T17:00:00+00:00,2024-05-13T18:00:00+00:00,18140.831,18202.099,18172.81,18194.332,True,True,none
2024-05-16T15:00:00+00:00,2024-05-16T19:00:00+00:00,LONG,18650.773485714286,18566.254785714285,-8451870.000000054,SL,84.51870000000054,-84.51870000000054,18566.254785714285,18819.810885714287,-1.0,False,,,2024-05-16T15:00:00+00:00,2024-05-16T19:00:00+00:00,18633.886,18670.932,18549.708,18610.697,True,True,none
2024-05-21T18:00:00+00:00,2024-05-23T10:00:00+00:00,LONG,18683.314057142856,18893.716599999996,21040254.285714038,TP,105.20127142857018,210.40254285714036,18578.112785714286,18893.716599999996,2.0,False,,,2024-05-21T18:00:00+00:00,2024-05-23T10:00:00+00:00,18671.221,18695.932,18866.043,18894.453,True,True,none
2024-05-28T00:00:00+00:00,2024-05-28T18:00:00+00:00,LONG,18821.367400000003,18754.448,-6691940.00000025,SL,66.9194000000025,-66.9194000000025,18754.448,18955.206200000008,-1.0,False,,,2024-05-28T00:00:00+00:00,2024-05-28T18:00:00+00:00,18817.464,18840.364,18751.487,18858.821,True,True,none
2024-05-30T15:00:00+00:00,2024-05-31T15:00:00+00:00,SHORT,18584.781814285714,18265.740157142856,31904165.714285772,TP,159.52082857142886,319.04165714285773,18744.302642857143,18265.740157142856,2.0,False,,,2024-05-30T15:00:00+00:00,2024-05-31T15:00:00+00:00,18560.32,18634.808,18240.619,18332.586,True,True,none
2024-05-31T19:00:00+00:00,2024-06-03T12:00:00+00:00,SHORT,18401.64552857143,18648.504464285717,-24685893.571428824,SL,246.85893571428824,-246.85893571428824,18648.504464285717,17907.927657142853,-1.0,False,,,2024-05-31T19:00:00+00:00,2024-06-03T12:00:00+00:00,18285.21,18546.297,18624.153,18650.708,True,True,none
2024-06-03T14:00:00+00:00,2024-06-03T15:00:00+00:00,LONG,18536.577807142858,18548.71964285714,1214183.5714282934,SL_intrabar_conflict,12.141835714282934,12.141835714282934,18548.71964285714,18512.29413571429,1.0,False,,,2024-06-03T14:00:00+00:00,2024-06-03T15:00:00+00:00,18522.532,18678.999,18514.754,18587.299,True,True,none
